Token List
Lexemes:                      Types:
-----------------------------
CLASS                         $CLASS
pgm8                          Identifier
{                             $LB
VAR                           $VAR
J                             Identifier
;                             $Semi
CIN                           Identifier
J                             Identifier
;                             $Semi
WHILE                         $WHILE
J                             Identifier
<                             $Less
Lit10                         Numeric Literal
DO                            $DO
{                             $LB
J                             Identifier
=                             $Assign
J                             Identifier
+                             $Add
Lit1                          Numeric Literal
;                             $Semi
}                             $RB
COUT                          Identifier
J                             Identifier
;                             $Semi
}                             $RB
EOF                           EOF
